speaker_reference,text,generated_wav,language
/raid/edresson/dev/Paper/References_FT/ar_george_00000000.wav," 연방정부가 타즈마니아 데본포트에 있는 머시 병원의 자금을 인수하기 위해 개입했을 때부터, 주 정부와 일부 연방 하원 의원들은 이러한 행동이 11월에 있을 연방선거전의 일환으로 쓰일 거라고 비난해왔다.",Evaluation/FT/XTTS_FT/Audios/ar_george_00000000.wav/ar_george_00000000.wav_ko_0.wav,ko
/raid/edresson/dev/Paper/References_FT/ar_george_00000000.wav," Mióta a szövetségi kormány beszállt a devonporti  Mersey kórház finanszírozásába, az állami kormány és egyes szövetségi parlamenti képviselők kritizálták ezt a szerintük a novemberi szövetségi választások felvezetéseként értékelhető lépést.",Evaluation/FT/XTTS_FT/Audios/ar_george_00000000.wav/ar_george_00000000.wav_hu_1.wav,hu
/raid/edresson/dev/Paper/References_FT/ar_george_00000000.wav, 連邦政府がタスマニア州デボンポートのマーシー病院の資金調達を引き継ぐために介入して以来、州政府と一部の連邦議員は、この行為を11月までに招集される連邦選挙の前哨戦での煽り行為だとして批判しています。,Evaluation/FT/XTTS_FT/Audios/ar_george_00000000.wav/ar_george_00000000.wav_ja_2.wav,ja
/raid/edresson/dev/Paper/References_FT/ar_george_00000000.wav," С тех пор, как федеральное правительство вмешалось и взяло на себя финансирование госпиталя Мерси в Девонпарте , правительство штата и некоторые члены федерального парламента критиковали эту акцию как уловку в преддверии федеральных выборов, которые должны пройти в ноябре.",Evaluation/FT/XTTS_FT/Audios/ar_george_00000000.wav/ar_george_00000000.wav_ru_3.wav,ru
/raid/edresson/dev/Paper/References_FT/ar_george_00000000.wav, 自从联邦政府介入接管塔斯马尼亚州德文波特的默西医院的资金后，州政府和一些联邦议员批评此举是 11 月联邦大选前的噱头。 ,Evaluation/FT/XTTS_FT/Audios/ar_george_00000000.wav/ar_george_00000000.wav_zh-cn_4.wav,zh-cn
/raid/edresson/dev/Paper/References_FT/ar_george_00000000.wav, ومنذ أن تدخّلت الحكومة الفيدرالية لاستلام تمويل مشفى ميرسي في دافنبورت في تسمانيا، انتقدت حكومة الولاية وبعض النواب الفيدراليين هذا العمل كحيلة في مقدمة الانتخابات الفيدرالية التي من المقرر أن تجرى في تشرين الثاني.,Evaluation/FT/XTTS_FT/Audios/ar_george_00000000.wav/ar_george_00000000.wav_ar_5.wav,ar
/raid/edresson/dev/Paper/References_FT/ar_george_00000000.wav," Od doby, kdy federální vláda převzala financování nemocnice Mersey v Devonportu v Tasmánii, vláda státu a někteří federální poslanci kritizovali tento čin jako pouhé gesto předcházející federálním volbám, které měly být vyhlášeny v listopadu.",Evaluation/FT/XTTS_FT/Audios/ar_george_00000000.wav/ar_george_00000000.wav_cs_6.wav,cs
/raid/edresson/dev/Paper/References_FT/ar_george_00000000.wav," Sinds de federale regering de financiering heeft overgenomen van het Mersey ziekenhuis in Devonport, Tasmanië, hebben de overheid en enkele federale parlementsleden deze wet bekritiseerd als stunt tijdens de beginperiode van de federale verkiezingen die in november worden gehouden.",Evaluation/FT/XTTS_FT/Audios/ar_george_00000000.wav/ar_george_00000000.wav_nl_7.wav,nl
/raid/edresson/dev/Paper/References_FT/ar_george_00000000.wav," Federal Hükümet, Tazmanya Devonport'taki Mersey hastanesinin fonunu devralmak için devreye girdiğinden beri, eyalet hükümeti ve bazı federal parlamento üyeleri bunun, kasım ayına kadar gerçekleştirilecek olan federal seçimlerin başlangıcı için yapılan dikkat çekici bir gösteri olmasını eleştirdi.",Evaluation/FT/XTTS_FT/Audios/ar_george_00000000.wav/ar_george_00000000.wav_tr_8.wav,tr
/raid/edresson/dev/Paper/References_FT/ar_george_00000000.wav," Od kiedy rząd federalny przejął obowiązki związane z finansowaniem szpitala Mersey w Davenport , rząd stanowy i niektórzy posłowie federalni krytycznie odnieśli się do tego ruchu, uznając go za działanie medialne podyktowane zbliżającymi się wyborami federalnymi w listopadzie.",Evaluation/FT/XTTS_FT/Audios/ar_george_00000000.wav/ar_george_00000000.wav_pl_9.wav,pl
