,Language,CER,UTMOS,SECS
0,ar,12.9424,2.6984 ± 0.63,0.6773
1,cs,11.0828,2.5874 ± 0.55,0.6463
2,de,5.3362,3.0069 ± 0.72,0.6606
3,en,4.9623,3.6498 ± 0.87,0.6818
4,es,7.1136,2.7633 ± 0.7,0.6707
5,fr,4.8187,2.8383 ± 0.66,0.6971
6,hu,4.6204,2.8651 ± 0.61,0.7154
7,it,4.807,2.9236 ± 0.69,0.6958
8,ja,18.6915,3.0703 ± 0.73,0.7185
9,ko,9.9417,2.9194 ± 0.7,0.698
10,nl,2.9173,3.0874 ± 0.67,0.6587
11,pl,1.3172,3.0452 ± 0.68,0.6982
12,pt,4.7719,2.9574 ± 0.7,0.7315
13,ru,5.2052,2.9209 ± 0.7,0.6999
14,tr,3.2756,2.9695 ± 0.67,0.7129
15,zh,13.6528,2.9975 ± 0.72,0.6772
mean,,7.216,2.9563 ± 0.23,0.69
