|      | Language   |     CER | UTMOS         |   SECS |
|:-----|:-----------|--------:|:--------------|-------:|
| 0    | ar         | 10.2838 | 2.6726 ± 0.63 | 0.7233 |
| 1    | cs         | 11.3461 | 2.5445 ± 0.56 | 0.6803 |
| 2    | de         |  4.0812 | 3.0386 ± 0.72 | 0.6835 |
| 3    | en         |  3.2046 | 3.6215 ± 0.87 | 0.7124 |
| 4    | es         |  4.6545 | 2.8058 ± 0.7  | 0.7045 |
| 5    | fr         |  4.0791 | 2.8324 ± 0.67 | 0.7119 |
| 6    | hu         |  4.3318 | 2.8128 ± 0.65 | 0.7367 |
| 7    | it         |  4.0875 | 2.9007 ± 0.7  | 0.7194 |
| 8    | ja         | 17.6795 | 3.071 ± 0.74  | 0.7357 |
| 9    | ko         |  9.6111 | 2.9008 ± 0.71 | 0.7121 |
| 10   | nl         |  2.8062 | 3.0255 ± 0.69 | 0.6867 |
| 11   | pl         |  1.3309 | 3.0207 ± 0.69 | 0.7177 |
| 12   | pt         |  3.4121 | 2.9771 ± 0.71 | 0.7534 |
| 13   | ru         |  3.3317 | 2.8932 ± 0.7  | 0.7308 |
| 14   | tr         |  2.6995 | 2.932 ± 0.68  | 0.7345 |
| 15   | zh         | 11.2171 | 2.8959 ± 0.72 | 0.7233 |
| mean | nan        |  6.1348 | 2.9341 ± 0.23 | 0.7166 |
