|      | Language   |     CER | UTMOS         |   SECS |
|:-----|:-----------|--------:|:--------------|-------:|
| 0    | ar         |  7.5006 | 2.6414 ± 0.57 | 0.61   |
| 1    | cs         |  2.0486 | 2.7967 ± 0.55 | 0.5543 |
| 2    | de         |  1.6091 | 3.0286 ± 0.49 | 0.5619 |
| 3    | en         |  1.1941 | 3.737 ± 0.61  | 0.5769 |
| 4    | es         |  3.1004 | 2.8376 ± 0.6  | 0.5803 |
| 5    | fr         |  4.4126 | 2.7987 ± 0.63 | 0.5726 |
| 6    | hu         |  1.7886 | 2.8375 ± 0.4  | 0.6002 |
| 7    | it         |  1.0287 | 2.9533 ± 0.48 | 0.5608 |
| 8    | ja         |  8.2063 | 3.0183 ± 0.67 | 0.6208 |
| 9    | ko         |  7.0017 | 2.8823 ± 0.57 | 0.572  |
| 10   | nl         |  2.8905 | 2.9562 ± 0.58 | 0.5577 |
| 11   | pl         |  1.3886 | 3.0588 ± 0.65 | 0.5742 |
| 12   | pt         |  3.6071 | 2.989 ± 0.63  | 0.6105 |
| 13   | ru         |  2.0827 | 2.8854 ± 0.66 | 0.616  |
| 14   | tr         |  2.6574 | 2.8918 ± 0.59 | 0.5933 |
| 15   | zh         | 12.1471 | 2.9305 ± 0.64 | 0.6023 |
| mean | nan        |  3.9165 | 2.9527 ± 0.23 | 0.5852 |
